api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/852852,Shop Boyz,Baby Girl,https://genius.com/Shop-boyz-baby-girl-lyrics,http://api.genius.com/songs/852852,Rockstar Mentality,2007-05-11," Yahhh hooo! Aye baby girl Say baby girl Aye come here girl Aye you can be my baby girl Aye baby girl Say baby girl Aye come here girl Aye you can be my baby girl  Aye do you wanna be my Baby girl Aye let me take you round the Whole wide world And u can pick a pretty city Down in flordia Holdin hands in the sand Or take a flight across the water Hugged up til we land Rice & steak up in china Or we can kick it in japan Or we can just stay home And shop til u drop I'm just sayin Put some ice on ya ear Neck, wrist & ya hand You prolly tell me you don't want it But I know that you just playin   Aye baby girl Say baby girl Aye come here girl Aye you can be my baby girl Aye baby girl Say baby girl Aye come here girl Aye you can be my baby girl  What's up? Come here uh What's ya name? Don't miss ya blessing girl Cause ya life I can change Ain't with no bullshit I ain't tryna play no games  Just loosin up a lil gotta be a shame Come on So listen baby girl You need to be my babygirl Yes Let's get to know each other I think you should be in my world Yuh It's whateva cause I really Wanna kick it witcha Aye where's the frame? Cause I think we make a pretty picture   Aye baby girl Say baby girl Aye come here girl Aye you can be my baby girl Aye baby girl Say baby girl Aye come here girl Aye you can be my baby girl  What will it take huh? To make u be my baby Shoppin sprees down at lennox Got the keys to the mercedes Stop actin crazy Man you trippin Can't you see I'm on a mission? Let's come togetha like some stitches Stead of keepin yo lil distance These yo feelins that you playin with Forget the one you staying with Cause I ain't the one to be playin with When I'm the one you laying with I know I'm bein manish But please undastand this You gotta be my girl I demand it   Aye baby girl Say baby girl Aye come here girl Aye you can be my baby girl Aye baby girl Say baby girl Aye come here girl Aye you can be my baby girl"
/songs/853373,Shop Boyz,Bowen Homes,https://genius.com/Shop-boyz-bowen-homes-lyrics,http://api.genius.com/songs/853373,Rockstar Mentality,2007-05-11,HOOK: CATCH ME iN THE BRiCK BOWEN HOMES BOWEN HOMES B BOWEN HOMES B BOWEN HOMES CATCH ME iN THE BRiCK B BOWEN HOMES B BOWEN HOMES B BOWEN HOMES BOWEN HOMES {repeat 4x) FAT: AYE YOU CAN CATCH ME iN THE BRiCKS (iN THE BRiCKS) BOWEN HOMES NiGGA SOMETiMES i PUT MY GUARD DOWN CAUSE i'M AT HOME NiGGA NEVA ALONE NiGGA HOOD FULL OF STRONG NiGGAS WOODS FULL OF BODiES OF THEM PEOPLE COMiNG WRONG NiGGA I CAN'T FORGET BOUT TYE THAT WAS MY FAVORiTE GUY THE DiRTY DOZEN WiTH MY COUSiN NAY THEY PLAYED ABOUT BUT NOW HE DOiN A BiD WON'T TALK BOUT WHAT HE DiD BUT NOW & THEN THROUGH A PEN I ASK HiM WHAT iT iS REMEMBER CHiVERS STREET? THE OLD CHiVERS STREET JUST ASK BOUT KELLY LiL BOY I BET THEY MENTiON ME MY HOOD i LOVE THEM LADiES MY HOOD i LOVE THEM BABiES I CAN'T FORGET MY NiGGAS BOWEN HOMES WE LOVE YOU BABY! HOOK 2X MEANY: AYE YOU CAN CATCH ME iN SOME PARTMENTS THAT SiT OFF OF BANKHEAD BOWEN HOMES iS WHERE i BE MY HOOD AiNT NEVA SCARED IN THE BRiCKS WE STAY GETTiN MONEY AND WE QUiCK TO BUST A HEAD BET NOT MAKE A FALSE MOVE I BET THAT ASS END UP DEAD IN THE LAST PARKiNG LOT WHEA THE SHOP BOYZ BE EVERYBODY ON THE GRiND POST ON WALDEN UP UNDA TREE MY HOOD iS LiKE A CiRCLE DiViDED UP iNTO 3 PARTS CATCH ME ON THE LEFT AYE THAT'S THE SiDE WHERE iT'S HARDEST SEE EVERY WHERE WE GO BOY WE READY FOR WHATEVA YEAiNT HEARD THE WORD WHAT BOWEN HOMES WE STiCK TOGETHA AT THE END OF ALL THiS BOY MY HOOD iS SO STRONG SHOTS OUT TO EVERYBODY THAT DONE CAME FROM BOWEN HOMES HOOK 2X SHEED: AYE YOU CAN CATCH ME iN THE BRiCKS I'M A BOWEN HOME THOROUGHBRED AND ON MY MiND AiNT NOTHiN BUT CHEESE THEY CALL ME MOZERELLA HEAD NiGGA iM A VETERAN I SPiT THE SUN ON A FiRE BEAT BOWEN HOMES DON'T F**K WiTH CHiCKEN EVERYBODY LiKE BEEF CATCH ME ON THE 3RD STREET NiGGA THAT'S WALDEN && i DON'T HOOP NO MO BUT NiGGA iM STiLL BALLiN I BREAK A NiGGA JAW THEN HEAD OUT THE WHiP CiRCLE SHOP BOYZ iS NOT A GAME WE MORE LiKE A PiT CiRCLE YEAH WE FROM THE HOOD WHERE THE SHiT AiNT ALL GOOD AND GANGSTAS LEAVE U LAYiN THE LAST PLACE THAT U STOOD LET'S GET iT UNDASTOOD U KNOW i KiCK THAT REAL SHiT IT iS WHAT iT iS AND WHAT iT WAS IT STiLL iS BiTCH! HOOK...
/songs/853479,Shop Boyz,Flexin',https://genius.com/Shop-boyz-flexin-lyrics,http://api.genius.com/songs/853479,Rockstar Mentality,2007-05-11,"Big wheels on rims, I'm flexin New chain around my neck, I'm flexin Got dough you can check, I'm flexin matter of fact I'm big boy flexin.   Big car, big shoes and a big booty bitch. (oh) One hand on my wheel just to see my jewelry glitz. (uh-huh) All my fingas and wrist. (yeah) Never would've thought I would live like this Drive toyota and a honda and no other in the streets. (ahh) Like D4L, betcha can't do it like me I'm a stunna They will tell you how it is, this is shop boys summer. (yeah)   Big wheels on rims, I'm flexin New chain around my neck, I'm flexin Got dough you can check, I'm flexin matter of fact I'm big boy flexin.   Big rims my tires is flat. (yeah) New benz outside and black. (yeah) Killas like I admire that. (ok) New orange cutless like a fire-hat. (c'mon, yeah) I stunt I deserve a plant. (ok) Gimme a track, I murda that. (yeah) Take your girl then work her back When it comes to the flix then I don't slack. (uh-uhh) Cellphones same price as rent. (yeah) Get stupid, then it's on my bed I'm off the chain, you tied to the fence My angel feels like this turbulance. (whoo) I'm bout to freeze I need a coat. (yeah) Your ice is a measly joke. (yeah) I pray, yeah I need to boast I'm big flexin from coast to coast. (whoa)   Big wheels on rims, I'm flexin New chain around my neck, I'm flexin Got dough you can check, I'm flexin matter of fact I'm big boy flexin.   I'm a money go getta, keep money. (keep money) $50 thousand around my neck like Johnny. (like Johnny) My car sit way in the sky. (sky) Future mission, man I think its gonna fly. (fly) Spent bout $450 on the shoes My parents say I don't mean to be rude. (nah) I think I need protection. (yeah) Gettin money I'm big boy flexin   Big wheels on rims, I'm flexin New chain around my neck, I'm flexin Got dough you can check, I'm flexin matter of fact I'm big boy flexin. "
/songs/853166,Shop Boyz,Next To Me,https://genius.com/Shop-boyz-next-to-me-lyrics,http://api.genius.com/songs/853166,Rockstar Mentality,2007-05-11,"She knows what I want She knows what I like She knows when i'm wrong She knows when i'm right She knows what it takes to get next to me (She knows what it takes to get next to me) Girl: I know what you want I know what you like I know when you're wrong I know when you're right She knows what it takes to get next to me (She knows what it takes to get next to me) Ay well apparently, you the only girl that can handle me Take care of me, for various shit i can see that you cherish me You selfishly get mad when them other bitches stare at me Im glad to see that you can hold me down like gravity I have to be stupid just to ever ever cheat on you I lean on you, and in the bed the only time i beat on you What we go through is different we fight and then get intimate This shit here gettin' serious and marriage now i'm sensin it I need some time just to get my thoughts, to get a piece of mind I know that i broke your heart, so you can get a piece of mine We been fine cuz we done made it through the decent time They wanna know why i wanna make you my wife She knows what I want She knows what I like She knows when i'm wrong She knows when i'm right She knows what it takes to get next to me (She knows what it takes to get next to me) Girl: I know what you want I know what you like I know when you're wrong I know when you're right She knows what it takes to get next to me (She knows what it takes to get next to me) You were down for me girl when noone was When i was down and i was out you gave me kisses and hugs I paid you little attention you always showed me love Not knowing you were an angel from the heavens above And when i'm down to my leg you say i got what you need And when try to offer somethin it's hard for me to receive Always said when i'm in need you'd be down for me Spend a life time with me, you love and care for me And when we out and about you show me love and affection And when i needed some advice you answer all of my questions I'm kind of confused right now and my mind got me guessin I see you know what i want and to my heart you a blessin She knows what I want She knows what I like She knows when i'm wrong She knows when i'm right She knows what it takes to get next to me (She knows what it takes to get next to me) Girl: I know what you want I know what you like I know when you're wrong I know when you're right She knows what it takes to get next to me (She knows what it takes to get next to me) I got, a few friends but one know how to get next to me The same one thats stressin me, the one who got the best of me I know i shouldn't mess with her cuz now she always mess with me Why she always buck on me and try and see whats up with me And now she gettin worse ever since i started rappin ( ) Got me goin all slappy, baby we ain't got no ties Ain't got the nerve to say what happened to us i guess it died I don't need no drama don't call my phone now the money comin in And you tryna get you some, had a n**** that was good but your the one who Choose to doubt it and she know me like a book but the sad thing about it She knows what I want She knows what I like She knows when i'm wrong She knows when i'm right She knows what it takes to get next to me (She knows what it takes to get next to me) Girl: I know what you want I know what you like I know when you're wrong I know when you're right She knows what it takes to get next to me (She knows what it takes to get next to me)"
/songs/42105,Shop Boyz,Party Like a Rockstar,https://genius.com/Shop-boyz-party-like-a-rockstar-lyrics,http://api.genius.com/songs/42105,Rockstar Mentality,2007-05-11,"Y-y-yeaaaaaaah! Y-y-yeaaaaaaah! Y-y-yeaaaaaaah! Y-y-yeaaaaaaah! (T-t-t-totally duuuude!)   Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rockstar (T-t-t-totally duuuude!)  I'm on a money makin mission but I party like a rock star Flyin' down 20 lookin' good in my hot car You know dem hoes be at my show, grabbin where my chain go I'm tryna grab and hold my pants but these hoes won't let my thang go I DO like I DO, cause you know da hoes be tryin dat Ho don't you know I fuck wit fine dimes that look like Pamela They fine and they hot brah, when I'm in the spot, brah... (yeah..) I PARTY LIKE A ROCKSTAAAAAR!!   Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rockstar (T-t-t-totally duuuude!) Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rockstar (T-t-t-totally duuuude!)  IIIII... (IIII...) - party like a rock star Do it wit the black, and the white, like a cop car (Yeaaaaaaah!) WHOOP, WHOOP! Me and my band, man On the yacht wit Marilyn Manson, gettin a tan maaaan! (Cool!) You know me, wit a skull belt and wallet chain Shop Boyz, rock stars, yeah we bout to change the game (Change the game? Uh ohhhhhhhhhhh!) They know that I'm a star (I'm a star) I make it rain from the center of my gui-tar   Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rockstar (T-t-t-totally duuuude!) Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rockstar (T-t-t-totally duuuude!)  As soon as I came out the womb, my momma knew a star was born Now I'm on the golf course, trippin wit the Osbournes I seen the show wit Travis Barker, rock star mentality I'm jumpin in the crowd just to see if they would carry me Bitches wanna marry me, they see me they just might panic My ice make em go down quick, like the Titanic! Yeah, I'm wit Da Shop Boyz, you know what we do I'm surfin screamin ""Cowabonga, TOTALLY DUUUDE!!""   Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rockstar (T-t-t-totally duuuude!) Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rockstar (T-t-t-totally duuuude!) (T-t-t-totally duuuude!) Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rockstar (T-t-t-totally duuuude!) Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rock - party like a rock star Party like a rockstar (T-t-t-totally duuuude!"
/songs/853051,Shop Boyz,Rockstar Mentality,https://genius.com/Shop-boyz-rockstar-mentality-lyrics,http://api.genius.com/songs/853051,Rockstar Mentality,2007-05-11,"Y-y-yeah, y-y-yeah, y-y-yeah, y-y-yeah T-t-totally dude Party like the boss, party like the boss is gone Party like the boss, party like the boss is gone Party like the boss, party like the boss is gone Party like the boss is gone T-t-totally dude I'm on a money-makin' mission But I party like the boss is gone Comin' in at 10 wit' ma digital headphones on You know that darla be my boss An' she be worried 'bout ma hours But I, uhh, comin' in at 10 'Cause when she gone I got the power She alwayz checkin' up on me She thinks I be slackin' But I'm a state employee An' she totally over-reactin' So what if I be late An' take some time to get my coffee on? All next week she know I gonna party like, uhh, boss us gone Party like the boss, party like the boss is gone Party like the boss, party like the boss is gone Party like the boss, party like the boss is gone Party like the boss is gone T-t-totally dude Iii, lii Party like the boss is gone E'ry day a all next week Monday through Friday I gonna get me some sleep You goin' see me in ma office With my feet up relaxin' 'Cause working for ma boss Is just a little bit taxin' (Cool) You goin' see me rollin' in With my custom shades on 'Cause this is how we do it When the boss be all gone Yeah, I about to change The opm of my duties Like dude, the boss is gone So what the hell she goin' do to me? Party like the boss, party like the boss is gone Party like the boss, party like the boss is gone Party like the boss, party like the boss is gone Party like the boss is gone T-t-totally dude As soon as I came out the womb I started playin' it slow Now I'm chillin' at the commission Am I workin'? Hell no I got my slackin' all planned Got that, 'Boss is gone' mentality I'mma take a fo hour lunch An' she not here to catch me The gov'ment wanna stop me Say I'mma waste people's taxes Yo! I got better thangs to do Than to kiss all they asses Yo, I'm my own dawg An' you know how I do I be leavin' at 3:30 'Cause the boss is gone dude Party like the boss, party like the boss is gone Party like the boss, party like the boss is gone Party like the boss, party like the boss is gone Party like the boss is gone"
/songs/853660,Shop Boyz,Rollin,https://genius.com/Shop-boyz-rollin-lyrics,http://api.genius.com/songs/853660,Rockstar Mentality,2007-05-11,"[ I'm in and out of town It's bout to go down 26's on my Chevy And they spinnin round n round I be roooooooooollin I be rollin I be rollin I be roooooooooollin  Girl I be rollin through the city In a 'lac on 24's Or in a all white Lamborgini Hate the car but love the doors Aye on that motorcycle rider On that Mazarrati driver Got the CL with the V12 Just because I like the power  Got me a tan scraw hat My shades be black Got the pedal to the floor And my seat leaned back In a brand new car Cause I know I'm goin far Got the jewels around my neck Plus I'm lookin like a star  I gotta keep me a girl Who'll blow me like a flute You might see me in yo city In a brand new Bentley Coupe Lookin cool as a fan My tool in my hand When I'm rollin Heyy when I'm rollin Yeaaaah  [ I'm in and out of town It's bout to go down 26's on my Chevy And they spinnin round n round I be roooooooooollin I be rolllin Hey I be rollin I be roooooooooollin I be rollin Hey I be rollin I can't go wrong When I'm stuck off in my zone Betta do what you gon do Cause I won't be with you long I be roooooooooollin I be rollin Hey I be rollin I be roooooooooollin I be rollin Hey I be rollin  I'm flyin through the city Got a bad chick with me My car supa clean And my rims keep spinnin Everybody on my side And ain't nobody gon against me I'm rollin rollin rollin On my way to Mississippi (Quit lyin)  Prada, Gucci, Versace, Louis Shades on my face Hangin out my coupe All out the roof like HEY MS BOOTY She look back Oh is you choosin? I reply lemme kick it witcha Jump in my car we won't go far Only got one night Only got one chance Like (???)  Rest on the top of my Chevy It depends on how I feel You can catch me in Hawaii With a chic who's from Brazil Know I gotta keep it real I ain't talkin bout pills When Im rollin Heyy when Im rollin Yeaaah  [ I'm in and out of town It's bout to go down 26's on my Chevy And they spinnin round n round I be roooooooooollin I be rolllin Hey I be rollin I be roooooooooollin I be rollin Hey I be rollin I can't go wrong When I'm stuck off in my zone Betta do what you gon do Cause I won't be with you long I be roooooooooollin I be rollin Hey I be rollin I be roooooooooollin I be rollin Hey I be rollin"
/songs/853705,Shop Boyz,Showin Me Love,https://genius.com/Shop-boyz-showin-me-love-lyrics,http://api.genius.com/songs/853705,Rockstar Mentality,2007-05-11,AAAh! HEY! HEY! HEY HEY! West coast they be showin me love (HEY!) East coast the be showin me love (HEY!) Up north the be showin me love (HEY!HEY!) Down south they be showin' me love! Pump up the brain LA main a rockstar move with a big old chain I threw the shop sign up oh they screaming my name all the ladies everywhere well they're going insane Hit duck around the border headed to florida on a jock with my boy Trik crossing the water headed back to the sorth thats where I stay put your hands in the air if you're repping the A! West coast they be showin me love (HEY!) East coast the be showin me love (HEY!) Up north the be showin me love (HEY!HEY!) Down south they be showin me love HEY! HEY! HEY! And the whole world showin' me love! Now it me shorty shorter took a flight to California on the sign it said a bullet trying to find a better momma from Alana Alabama you can ask about me Ban Kid West side yo' we riding those streets From New York every week buying holiday juice they slave for free man i thought what i loose but i not by the week they be showin me love but when the hat hits the side I be chasing them girls! West coast they be showin me love (HEY!) East coast the be showin me love (HEY!) Up north the be showin me love (HEY!HEY!) Down south they be showin me love HEY! HEY! HEY! And the whole world showin' me love! You can catch me and Colin where the weed is grey next door in New Orleans Louisa state and i feel it with my brothers it ain't Jesus state and the D with Bizzare and then me news display I head to Misisipi we're bound to make a drop off i ain't here to watch Snoop Dog and pow wow this ain't news for Nelly shootin' ferrets on the side walk and the sound make you drop off West coast they be showin me love (HEY!) East coast the be showin me love (HEY!) Up north the be showin me love (HEY!HEY!) Down south they be showin me love HEY! HEY! HEY! And the whole world showin' me love! Yeah show me love! Yeah show me love! Show me love! And the whole world showin' me love Show me love! Show me love! Show me love! West coast they be showin me love (HEY!) East coast the be showin me love (HEY!) Up north the be showin me love (HEY!HEY!) Down south they be showin me love HEY! HEY! HEY! And the whole world showin' me love! AAAH!
/songs/853447,Shop Boyz,They Like Me,https://genius.com/Shop-boyz-they-like-me-lyrics,http://api.genius.com/songs/853447,Rockstar Mentality,2007-05-11,"D D David Banner Yeah! Shawty! Its Ya Boy David Banner New Shop Boyz! Let's Go!   They Lookin At My Jewls And They See A Player Icy They Kick It Like They Cool But I Can Tell They Wanna Fight Me I Keep The Girls Choosin Turn Em Out & Have Em Dikin They Neva Tell Me Naw Why? Cause They Like Me   Aye Man Hold Up Please Girl You See This Bling Don't You See These Diamonds What That Is? Its Shinin Things Look At All My Rings Compliment My Bracelet I Think My Chain Stank Cause Ppl Makin Ugly Faces I Had 2 Girls At The Same Time I Had Em Dikin Knowin Damn Well If I Ain't Rap They Prolly Wouldn't Even Like Me But Fuck It I Stay Icy Ask About Me In Atlanta Im A Shop Boy Flexin On The Track With Mr. Banner   They Lookin At My Jewls And They See A Player Icy They Kick It Like They Cool But I Can Tell They Wanna Fight Me I Keep The Girls Choosin Turn Em Out & Have Em Dikin They Neva Tell Me Naw Why? Cause They Like Me They Lookin At My Jewls And They See A Player Icy They Kick It Like They Cool But I Can Tell They Wanna Fight Me I Keep The Girls Choosin Turn Em Out & Have Em Dikin They Neva Tell Me Naw Why? Cause They Like Me   She Said U Let Me Touch Ya Chain Ill Let You Poke It This Shit Ain't Hard To Notice Grab A Knot And Let Her Throw It Just To Show Her How I Blow Im A Playa & She Know It I Ain't Scared To Show It I Take Her To My Patnas Let Em Bust & Leave Her Heart Broken Them Bustas Kick It Like They Cool But They Hatas To They Heart Yeah They Talk Behind My Back Cause They Been Haters From The Start I Send Them Hatas To The Stars Then Kick It With They Wifey They Neva Tell Me Naw Why? Cause She Like Me   They Lookin At My Jewls And They See A Player Icy They Kick It Like They Cool But I Can Tell They Wanna Fight Me I Keep The Girls Choosin Turn Em Out & Have Em Dikin They Neva Tell Me Naw Why? Cause They Like Me They Lookin At My Jewls And They See A Player Icy They Kick It Like They Cool But I Can Tell They Wanna Fight Me I Keep The Girls Choosin Turn Em Out & Have Em Dikin They Neva Tell Me Naw Why? Cause They Like Me   I Can Tell They Envy Me Cause They See A Playa Fly My Earrings Bling A Ling Chain Look Like Tye-Dye See We Got Diffrent Color Girls But They Always Stick Together When I Say Move They Move Boy They Ready For Whatever I Can See It In Your Eye Boy Don't Make No False Move I Know That You Don't Like Me But U Betta Keep It Cool Don't Mean No Disrespect I Ain't Tryna Be Rude But Look You Gotta Know That I Always Keep A Tool Yessir!   They Lookin At My Jewls And They See A Player Icy They Kick It Like They Cool But I Can Tell They Wanna Fight Me I Keep The Girls Choosin Turn Em Out & Have Em Dikin They Neva Tell Me Naw Why? Cause They Like Me They Lookin At My Jewls And They See A Player Icy They Kick It Like They Cool But I Can Tell They Wanna Fight Me I Keep The Girls Choosin Turn Em Out & Have Em Dikin They Neva Tell Me Naw Why? Cause They Like Me  Yeah, Yeah, Yeah"
/songs/2122886,Shop Boyz,They like me - dirty,https://genius.com/Shop-boyz-they-like-me-dirty-lyrics,http://api.genius.com/songs/2122886,None,None,"David Banner Yeah, shawty It's your boy, David Banner New Shop Boyz, let's go They lookin' at my jewels and they see a player icy They kick it like they cool but I can tell they wanna fight me I keep them girls choosin', turn 'em out and have 'em dykin' They neva tell me naw, why? 'Cause they like me They lookin' at my jewels and they see a player icy They kick it like they cool but I can tell they wanna fight me I keep them girls choosin', turn 'em out and have 'em dykin' They neva tell me naw, why? 'Cause they like me Aye man, hold up please, girl, you see this bling Don't you see these diamonds? What that is? Them shinin' things Look at all my rings compliment my bracelet I think my chain stank 'cause people makin' ugly faces I had two girls at the same time and I had 'em dykin' Knowin' damn well if I ain't rap, they probably wouldn't even like me But fuck it, I stay icy, ask about me in Atlanta I'm a Shop Boy, flexin' on the track with Mr. Banner They lookin' at my jewels and they see a player icy They kick it like they cool but I can tell they wanna fight me I keep them girls choosin', turn 'em out and have 'em dykin' They neva tell me naw, why? 'Cause they like me They lookin' at my jewels and they see a player icy They kick it like they cool but I can tell they wanna fight me I keep them girls choosin', turn 'em out and have 'em dykin' They neva tell me naw, why? 'Cause they like me She said you let me touch your chain, I'll let you poke it This shit ain't hard to notice Grab a knot and let her throw it, just to show her how I blow it I'm a playa and she know it and I ain't scared to show it I take her to my patnas, let 'em bust and leave her heart broken Them bustas kick it like they cool but they hate us to they heart Yeah, they talk behind my back 'cause they been haters from the start I send them haters to the stars, then kick it with they wifey And they neva tell me naw, why? 'Cause she like me They lookin' at my jewels and they see a player icy They kick it like they cool but I can tell they wanna fight me I keep them girls choosin', turn 'em out and have 'em dykin' They neva tell me naw, why? 'Cause they like me They lookin' at my jewels and they see a player icy They kick it like they cool but I can tell they wanna fight me I keep them girls choosin', turn 'em out and have 'em dykin' They neva tell me naw, why? 'Cause they like me I can tell they envy me 'cause they see a playa fly My earrings bling a ling, chain look like tie-dye See we got different color girls but they always stick together When I say move, they move, boy, they ready for whatever I can see it in your eye, boy, don't make no false move I know that you don't like me but you betta keep it cool Don't mean no disrespect, I ain't tryna be rude But look, you gotta know that I always keep a tool, yes sir They lookin' at my jewels and they see a player icy They kick it like they cool but I can tell they wanna fight me I keep them girls choosin', turn 'em out and have 'em dykin' They neva tell me naw, why? 'Cause they like me They lookin' at my jewels and they see a player icy They kick it like they cool but I can tell they wanna fight me I keep them girls choosin', turn 'em out and have 'em dykin' They neva tell me naw, why? 'Cause they like me Yeah, yeah, yeah, David Banner"
/songs/853746,Shop Boyz,Totally Dude,https://genius.com/Shop-boyz-totally-dude-lyrics,http://api.genius.com/songs/853746,Rockstar Mentality,2007-05-11,I HAVE A dream team Yeahh Yeahh Yeahh To-To-Totally Dude Yeahh To-To-Totally Dude  {Chorus 2x} We got the whole world yelling out TOTALLY DUDE!! Everybody put yo hands up TOTALLY DUDE!! And if you getting to the money scream TOTALLY DUDE!! Scream TOTALLY DUDE!! Scream TOTALLY DUDE!!  {Verse 1} I'm still on a money making mission now I'm holding A fuel oh what they mad cause we had them say To-To-Totally Dude! I still party like a rockstar I still flying in my hot car I still see them girls at my show they come to see the shop boys I say you'll like I you'll made the whole world say you'll they Asking me what that mean cause they ain't never heard of that Ay do it fat and that new money made me pop hard but don't forget I still party like a rockstar  {Chorus 2x}  {Verse 2}  I-I party like a rockstar every where I go they see me Pulling out my guitar every body banging heads hands in The air like them boys really tear it they still jumping In the crowd they ass so sick got the club going wild steal My style I can let 'em me but if you feel like I feel gone say it with me  {Chorus 2x}  {Verse 3}  I get it yeah I did it just to see if they would carry Me they still wanna marry me it the rockstar mentality Shop Boys the shit man we leave a hater pissed man his Girl went down real slow like some quick sand been out The whom a while my mama said she proud I guess cause I got a new car and house on deck Shop Boys we still do what we do Every body hold they hands up and scream TOTALLY DUDE!  {Chorus 2x}  ((Instrumental Play))  Yeah To-To-Totally Yeahh Totally Yeahh To-To-Totally Dude Yeahh Totally Dude Yeah To-To-Totally (OUT)
/songs/853267,Shop Boyz,World On Fire,https://genius.com/Shop-boyz-world-on-fire-lyrics,http://api.genius.com/songs/853267,Rockstar Mentality,2007-05-11,"We set the world on fire (YEEAAAHHH) Shop Boyz set the world on fire   And now they can't get up (x4) (YOUUUUA) We set the world on fire (YOUUUUA) Shop Boyz set the world on fire And now they can't get up (x4) (YOUUUUA) We set the world on fire (YOUUUUA) Shop Boyz set the world on fire   These sucker flames, and we the torch that's scorching they're asses It's like a movie And B he's supporting the cast I like the flash, watch them burn, that's part of the tab They turnin' into ashes We got the whole industry mad It was the swag that the cock suckers was hatin' on That's the same swag that them Shop Boyz done made it on You gone from having nothing to having everything you desire And that's how you know you set the world on fire   We puttin' work in, hard, stayed on the grind Set the world on fire, yep, it's Shop Boyz time Stay stuntin' gettin' money, boy it's our time to shine Yo, we took off like a rocket, leavin' nigga's ass behind Heard I get money, #1 hood song Straight from Bowen Homes, nigga, oh we can't go wrong Eveytime we in the club, all the people go bizzare Cuz they know we party hard like some fuckin' rock stars   Another song is set (youuuua) it sparked the world like a lighter Ay man we came hard Set the world on fire Started in Atlanta, ran all through the south Got on deck in every city, it's Shop Boyz in every house Put my team on my back, and i got my swag right I look good for the camera, and i give them what they like I got my mind right, and bitch i got bread Grab the world by the feet, and throwed it's ass on the head Hey  "
