,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/2456412,Dua Lipa,Bad Together,https://genius.com/Dua-lipa-bad-together-lyrics,http://api.genius.com/songs/2456412,Dua Lipa (Deluxe),2017-06-02," Know you're bad for me, but you know I am too Me and you together, like a loved up bruise I'll make you an offer that you can't refuse Baby, you're okay Baby, you're okay No, you won't, won't go breaking my heart You've seen that we got the same pain, same scar Felt that when we got closer in the dark Baby, I'm okay Baby, I'm okay   Baby, when When you're far away, I promise you I'll be good I guess we're misunderstood So baby, please, don't hear what people say 'Cause I've heard things 'bout you too Makes me know that I'm for you   Oh, no, I don't care what's been done here before me I don't give a damn, just as long as you care 'Cause, baby, I've been bad, but the heavens forgave me You don't need to ask 'cause I'm already there Let's be bad together, baby, you and I Let's be bad together, if only for a while Let's be bad together, make the devil smile Let's be bad together, let's be bad together, ooh yeah   Nothing could stop us, we got it all The love, the passion, but most of all We mess up, but run from the scene But I throw my hands up, if you know what I mean Ah, 'cause I'm not afraid to tell you when you're wrong And I know that you miss me when I'm gone We make a great team With you, I'm badder than I've ever been   Baby, when When you're far away, I promise you I'll be good I guess we're misunderstood So baby, please, don't hear what people say 'Cause I've heard things 'bout you too Makes me know that I'm for you   Oh, no, I don't care what's been done here before me I don't give a damn, just as long as you care 'Cause, baby, I've been bad, but the heavens forgave me You don't need to ask 'cause I'm already there Let's be bad together, baby, you and I Let's be bad together, if only for a while Let's be bad together, make the devil smile Let's be bad together, let's be bad together, ooh yeah   Let's be bad, babe Let's be bad Let's be bad, babe Let's be bad Let's be bad, babe Let's be bad Let's be bad, babe   Oh, no, I don't care what's been done here before me I don't give a damn, just as long as you care 'Cause, baby, I've been bad, but the heavens forgave me You don't need to ask 'cause I'm already there Let's be bad together, baby, you and I Let's be bad together, if only for a while Let's be bad together, make the devil smile Let's be bad together, let's be bad together, ooh yeah",35,10,34,32,23,41,35,32,7,20,-0.9986
1,1,/songs/3631614,Dua Lipa,Bad To You,https://genius.com/Dua-lipa-bad-to-you-lyrics,http://api.genius.com/songs/3631614,Unreleased,2018-09-21," Tell me why Are you only good to me When I'm bad to you Why are you only   Soft, thinking like a victim Climbed out the bodybag Right after the attack Caught you dreaming",3,1,1,3,1,3,1,2,1,1,-0.5106
2,2,/songs/3243292,Dua Lipa,Bang Bang,https://genius.com/Dua-lipa-bang-bang-lyrics,http://api.genius.com/songs/3243292,None,2017-10-20," I was five, and he was six We rode on horses made of sticks He wore black and I wore white He would always win the fight   Bang bang He shot me down Bang bang I hit the ground Bang bang That awful sound Bang bang My baby shot me down   Seasons came and changed the time When I grew up, I called him mine He would always laugh and say ""Remember when we used to play""   Bang bang I shot you down Bang bang You hit the ground Bang bang That awful sound Bang bang I used to shoot you down   Music played and people sang Just for me the church bells rang Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Now he's gone, I don't know why And 'til this day, I sometimes cry He didn't even say goodbye He didn't take the time to lie   Bang bang He shot me down Bang bang I hit the ground Bang bang That awful sound Bang bang My baby shot me down   Oh-ooh-ooh-ooh-ooh My baby shot me down",39,4,28,35,7,41,8,37,31,7,-0.5994
3,3,/songs/3050839,Dua Lipa,Begging,https://genius.com/Dua-lipa-begging-lyrics,http://api.genius.com/songs/3050839,Dua Lipa (Deluxe),2017-06-02," All of these highs And all of these lows Don't keep me company I've been breathing you in And drinking you down You're the only remedy   Say you're gonna hold my head up Say you're gonna break my fall Say you're gonna stay forever Baby, this is all I want   'Cause all my bones Are begging me to beg for you Begging me to beg for your love Oh, my lungs Are begging me to beg for you Begging me to beg for your love Swear I'm gonna hold your head up Swear I'm gonna break your fall Swear we're gonna last forever Baby, this is all I want 'Cause all my bones Are begging me to beg for you Begging me to beg for your love   Losing my mind Dreaming I'll find Another kind of love But this blood in my veins And the thought of your taste No, I can't give it up So look at my face I'm not running away   'Cause all my bones Are begging me to beg for you Begging me to beg for your love Swear I'm gonna hold your head up Swear I'm gonna break your fall Swear we're gonna last forever Baby, this is all I want 'Cause all my bones Are begging me to beg for you Begging me to beg for your love   Say you're gonna hold my head up Say you're gonna break my fall Say you're gonna stay forever Baby, this is all I want   Swear I'm gonna hold your head up Swear I'm gonna break your fall Swear we're gonna last forever Baby, this is all I want 'Cause all my bones Are begging me to beg for you Begging me to beg for your love Oh, my lungs Are begging me to beg for you Begging me to beg for your love",1,2,0,0,15,35,25,20,5,12,0.9851
4,4,/songs/2342780,Dua Lipa,Be the One,https://genius.com/Dua-lipa-be-the-one-lyrics,http://api.genius.com/songs/2342780,Dua Lipa (Deluxe),2015-10-30," I see the moon, I see the moon, I see the moon Oh, when you're looking at the sun I'm not a fool, I'm not a fool, not a fool No, you're not fooling anyone   Oh, but when you're gone When you're gone, when you're gone Oh baby, all the lights go out Thinking, oh that, baby, I was wrong I was wrong, I was wrong Come back to me, baby, we can work this out   Oh baby, come on, let me get to know you Just another chance so that I can show That I won't let you down and run No, I won't let you down and run 'Cause I could be the one I could be the one I could be the one I could be the one   I see in blue, I see in blue, I see in blue Oh, when you see everything in red There is nothing that I wouldn't do for you Do for you, do for you Oh, 'cause you got inside my head   Oh, but when you're gone When you're gone, when you're gone Oh baby, all the lights go out Thinking, oh that, baby, I was wrong I was wrong, I was wrong Come back to me, baby, we can work this out   Oh baby, come on, let me get to know you Just another chance so that I can show That I won't let you down and run No, I won't let you down and run 'Cause I could be the one I could be the one I could be the one   Be the one, be the one, be the one Be the one, be the one, be the one I could be the one Be the one, be the one, be the one Be the one, be the one, be the one I could be the one Be the one, be the one, be the one Be the one, be the one, be the one I could be the one Be the one, be the one, be the one Be the one, be the one, be the one Will you be mine?   Oh baby, come on, let me get to know you Just another chance so that I can show That I won't let you down and run No, I won't let you down and run 'Cause I could be the one I could be the one I could be the one",0,1,3,0,10,9,10,3,4,4,-0.8813
5,5,/songs/2814443,Dua Lipa,Between a Bullet and Heartbreak,https://genius.com/Dua-lipa-between-a-bullet-and-heartbreak-lyrics,http://api.genius.com/songs/2814443,Unreleased,2018-09-21," You don't know what you've lost 'til it's gone You can't hear the silence up to this lung You can't tie heartstrings when they're left undone You can't go back when you've left too long I tried to push us to the very end I needed a lover more than a friend But I hit the limit I didn't intend And I just wanna make amends   Wish that you would hold on, hold on, hold on, hold onto me Hold on, hold on, hold on, hold onto me Hold on, hold on, hold on, hold onto me now, yeah   I put myself between a bullet and a heartbreak And now I'm staring at the emptiness that I've made I put myself between a bullet and a heartbreak And all I wanted was you but I shot love down, down, down Down, down, down, down   In the darkness, I hear your voice Memories of us I feel destroyed My mind is playing tricks and I have no choice Without you, my heart makes no noise   Wish that you would hold on, hold on, hold on, hold onto me Hold on, hold on, hold on, hold onto me Hold on, hold on, hold on, hold onto me now, yeah   I put myself between a bullet and a heartbreak And now I'm staring at the emptiness that I've made I put myself between a bullet and a heartbreak And all I wanted was you but I shot love down, down, down Down, down, down, down   All I needed was you All I wanted was you All I needed was you   I put myself between a bullet and a heartbreak And now I'm staring at the emptiness that I've made I put myself between a bullet and a heartbreak And all I wanted was you but I shot love down, down, down Down, down, down, down",6,2,0,5,5,12,8,9,4,4,-0.9705
6,6,/songs/2461299,Dua Lipa,Blow Your Mind (Mwah),https://genius.com/Dua-lipa-blow-your-mind-mwah-lyrics,http://api.genius.com/songs/2461299,Dua Lipa (Deluxe),2016-08-26," I know it's hot I know we've got Something that money can't buy Fighting in fits Biting your lip Loving 'til late in the night   Tell me I'm too crazy You can't tame me, can't tame me Tell me I have changed But I'm the same me, old same me Inside Hey!   If you don't like the way I talk, then why am I on your mind? If you don't like the way I rock, then finish your glass of wine We fight and we argue, you'll still love me blind If we don't fuck this whole thing up Guaranteed, I can blow your mind Mwah!   And tonight I'm alive, ain't no dollar sign Guaranteed, I can blow your mind, mwah And tonight I'm alive, ain't no dollar sign Guaranteed, I can blow your mind, mwah (Mwah, mwah, mwah, mwah)   Yeah, I'm so bad Best that you've had I guess you're diggin' the show Open the door You want some more When you wanna leave, let me know   Tell me I'm too crazy You can't tame me, can't tame me Tell me I have changed But I'm the same me, old same me Inside Hey!   If you don't like the way I talk, then why am I on your mind? If you don't like the way I rock, then finish your glass of wine We fight and we argue, you'll still love me blind If we don't fuck this whole thing up Guaranteed, I can blow your mind Mwah!   And tonight I'm alive, ain't no dollar sign Guaranteed, I can blow your mind, mwah And tonight I'm alive, ain't no dollar sign Guaranteed, I can blow your mind, mwah   And tonight I'm alive, ain't no dollar sign Guaranteed, I can blow your mind, mwah, hey! And tonight I'm alive, ain't no dollar sign Guaranteed I can blow your mind, hey!   Tell me I'm too crazy You can't tame me, can't tame me Tell me I have changed But I'm the same me, old same me Inside Hey! Mwah!   If you don't like the way I talk, then why am I on your mind? If you don't like the way I rock, then finish your glass of wine We fight and we argue, you'll still love me blind If we don't fuck this whole thing up Guaranteed, I can blow your mind Mwah!   And tonight I'm alive, ain't no dollar sign Guaranteed, I can blow your mind, mwah And tonight I'm alive, ain't no dollar sign Guaranteed, I can blow your mind, mwah",13,9,1,7,13,16,28,6,3,20,0.9986
7,7,/songs/4031374,Dua Lipa,Butter kisses,https://genius.com/Dua-lipa-butter-kisses-lyrics,http://api.genius.com/songs/4031374,None,2018-10-20,"Chorus 1: Cigarettes on cigarettes,Cigarettes on cigarettes,Cigarettes on cigarettes,Cigarettes on cigarettes  Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses I miss my cocoa butter kisses  Verse 1: Okie dokie, alkie, keep it lowkey like Thor lil bro Or he’ll go blow the loudy, saudy of sour saudi Wiley up off peyote, wilding like that coyote If I sip any Henny, my belly just might be outie Pull up inside a huggy, Starsky & Hutch a dougie I just opened up the pack in an hour I'll ash my luck She just yelling “Fuck me” Two weeks she'll be yelling fuck me Tonight she just yelling fuck me Used to like orange cassette tapes with Timmy, Tommy, and Chuckie And Chuck E. Cheese’s pizzas, Jesus pieces, sing Jesus love me Put Visine inside my eyes so my grandma would fucking hug me Oh generation above me yeaahhh I know you still remember me  Chorus 1: Cigarettes on cigarettes, Cigarettes on cigarettes, Cigarettes on cigarettes, Cigarettes on cigarettes Cigarettes on cigarettes  Verse 2: I will smoke a little something but I don't inhale Everywhere that I go, everywhere they be asking how's it going Say the going's well, go figure, Victor's light skinned Jesus got me feeling like Colin Powell, all praise to the god God knows he's a pro, he's pro like COINTEL Check, check mate, check me take me to the bedroom Like she know me well, i mean normally You see Norman Jean wouldn't kick it with Farmer Phil But these kids these days, they get so high Burn trees, smoke chlorophyll, ‘till they can’t feel shit Got me feeling like Lauryn Hill, miseducated, my dick delegated Rap Bill Bellamy, they said I shoulda never made it Probably been dead or in jail Deadbeat dad, enough of that jazz Asshole, absinthe up in that glass Are we there yet? Ice cubes in a bong Rip, brain dead, take a tug and then pass.... then pass  Bridge: I think we all addicted, I think we all addicted Yeah, I think we all addicted I think we all addicted, I think we all addicted  Chorus 3: Cigarettes on cigarettes, Cigarettes on cigarettes, Cigarettes on cigarettes, Cigarettes on cigarettes Cigarettes on cigarettes, my momma think I stank I got burn holes in my hoodies, all my homies think it’s dank I miss my cocoa butter kisses I miss my cocoa butter kisses Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank Cocoa butter kisses I miss my cocoa butter kisses yeaaahhh...",6,13,9,6,17,40,23,4,10,11,0.9692
8,8,/songs/4031396,Dua Lipa,Butter kisses (cover),https://genius.com/Dua-lipa-butter-kisses-cover-lyrics,http://api.genius.com/songs/4031396,None,2018-10-20,"Chorus 1: Cigarettes on cigarettes,Cigarettes on cigarettes,Cigarettes on cigarettes,Cigarettes on cigarettes  Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses I miss my cocoa butter kisses  Verse 1: Okie dokie, alkie, keep it lowkey like Thor lil bro Or he’ll go blow the loudy, saudy of sour saudi Wiley up off peyote, wilding like that coyote If I sip any Henny, my belly just might be outie Pull up inside a huggy, Starsky & Hutch a dougie I just opened up the pack in an hour I'll ash my luck She just yelling “Fuck me” Two weeks she'll be yelling fuck me Tonight she just yelling fuck me Used to like orange cassette tapes with Timmy, Tommy, and Chuckie And Chuck E. Cheese’s pizzas, Jesus pieces, sing Jesus love me Put Visine inside my eyes so my grandma would fucking hug me Oh generation above me yeaahhh I know you still remember me  Chorus 1: Cigarettes on cigarettes, Cigarettes on cigarettes, Cigarettes on cigarettes, Cigarettes on cigarettes Cigarettes on cigarettes  Verse 2: I will smoke a little something but I don't inhale Everywhere that I go, everywhere they be asking how's it going Say the going's well, go figure, Victor's light skinned Jesus got me feeling like Colin Powell, all praise to the god God knows he's a pro, he's pro like COINTEL Check, check mate, check me take me to the bedroom Like she know me well, i mean normally You see Norman Jean wouldn't kick it with Farmer Phil But these kids these days, they get so high Burn trees, smoke chlorophyll, ‘till they can’t feel shit Got me feeling like Lauryn Hill, miseducated, my dick delegated Rap Bill Bellamy, they said I shoulda never made it Probably been dead or in jail Deadbeat dad, enough of that jazz Asshole, absinthe up in that glass Are we there yet? Ice cubes in a bong Rip, brain dead, take a tug and then pass.... then pass  Bridge: I think we all addicted, I think we all addicted Yeah, I think we all addicted I think we all addicted, I think we all addicted  Chorus 3: Cigarettes on cigarettes, Cigarettes on cigarettes, Cigarettes on cigarettes, Cigarettes on cigarettes Cigarettes on cigarettes, my momma think I stank I got burn holes in my hoodies, all my homies think it’s dank I miss my cocoa butter kisses I miss my cocoa butter kisses Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank Cocoa butter kisses I miss my cocoa butter kisses yeaaahhh...",6,13,9,6,17,40,23,4,10,11,0.9692
9,9,/songs/4124750,Dua Lipa,Chasing The Dragon,https://genius.com/Dua-lipa-chasing-the-dragon-lyrics,http://api.genius.com/songs/4124750,Unreleased,2018-09-21," Met a boy and he told me That life gon' burn you out You can go all four corners of the globe Still, won’t know what you’re about You got your issues, your tissues You cry every night I’m melodramatic I guess he was right Livin' out of that suitcase   He said ""girl better get on your way Keep chasing the dragon""   I guess he’s probably right Keep chasing the dragon That’s just how I’ll live my life ’Cause you know that, ooh Nothing bout me’s typical I said ""ooh"" You know I’ll be chasing the dragon Eh-eh-eh-eh-endlessly   Another thing that he told me ""It’s gonna be a long, long daylight"" He’s the one I feel bad for Don’t have a passion like mine I’ll keep my issues, my tissues Keep runnin' the lights I may be impulsive but I do all right Livin' out of my suitcase   He said ""girl better get on your way Keep chasing the dragon""   I guess he’s probably right Keep chasing the dragon That’s just how I’ll live my life ’Cause you know that, ooh Nothing bout me’s typical I said ""ooh"" You know I’ll be chasing the dragon Eh-eh-eh-eh-endlessly   No matter what he said to me I’m gonna be running free, ooh I just wanna fly, you see Ain’t nothing stopping me Ooh   Keep chasing the dragon Eh-eh-eh-eh-endlessly Keep chasing the dragon Eh-eh-eh-eh-endlessly ’Cause you know that Nothing bout me’s typical I said ""ooh"" You know I’ll be chasing the dragon Eh-eh-eh-eh-endlessly Keep chasing the dragon Eh-eh-eh-eh-endlessly",4,3,2,11,1,6,2,2,3,2,0.8279
10,10,/songs/3092980,Dua Lipa,Cruel,https://genius.com/Dua-lipa-cruel-lyrics,http://api.genius.com/songs/3092980,None,2016-09-29," Cab radio screaming Noise and tears Death on the TV And then there's you Messed up, it's crazy I can't concentrate I just see your outline... Mhmm   Back where we left off Watch you take your dress off I've been by myself remembering you Your body hurts me Loopin' 'round like CCTV In all this bitterness, you stay so sweet   Such a cruel world Savin' all my love for you, girl Uh, it's such a cruel world Maybe I found somethin' good, girl Uh-uh-uh-uh   Some prick at the party All scripts and boasts A dead eyed actress girl And then there's you Venus in Converse You put a spell on me And you're lockin' up the bathroom door for us   Back where we left off Watch you take your dress off I've been by myself remembering you Your body hurts me Loopin' 'round like CCTV In all this bitterness, you stay so sweet   Such a cruel world Savin' all my love for you, girl Uh, it's such a cruel world Maybe I found somethin' good, girl   It's such a cruel world Hey, hey, hey It's such a cruel world Hey, hey, hey   Sunrise in Hollywood We ain't slept for days Perfect disaster Me and you Oh-oh-oh-oh-oh   It's such a cruel world Savin' all my love for you, girl Uh, it's such a cruel world Maybe I found somethin' good, girl It's such a cruel world Savin' all my love for you, girl It's such a cruel world Maybe I found somethin' good, girl Uh-uh-uh-uh   Sunrise in Hollywood We ain't slept for days",19,10,16,19,15,21,19,17,9,11,-0.9842
11,11,/songs/2874911,Dua Lipa,Dreams,https://genius.com/Dua-lipa-dreams-lyrics,http://api.genius.com/songs/2874911,Dua Lipa (Deluxe),2017-06-02," Last night, my fantasies become oh-so-true You said you wanted me as much as I want you If I said it hadn't crossed my mind Then, oh baby, I'd be lying It just got complicated, I don't know what to do   Can I get it like that, that, that? Let me know 'Cause I really like that, that, that, when you go And I know it's not real, but the way that I feel I just need to know Can I get it like that, that, that? Let me know 'Cause I really like that, that, that, when you go And I know it's not real, but the way that I feel I just need to know, know, know, know   In my dreams You say you want me, my body In my dreams You say you need me, believe me In my dreams You say you love me, say you'll never leave my dreams In my dreams   You love me like yeah You love me right, oh yeah You love me like yeah You love me right, oh yeah You love me like yeah You love me right, oh yeah You love me like, you love me right In my dreams   Inside I'm screaming loud, I'm calling out your name It's time you started listening, don't think you can hear me 'Cause if you really wanna go right 'round Time is tickin', we gotta leave now Time is tickin', we gotta leave town tonight Hey   Can I get it like that, that, that? Let me know 'Cause I really like that, that, that, when you go And I know it's not real, but the way that I feel I just need to know, know, know, know   In my dreams You say you want me, my body In my dreams You say you need me, believe me In my dreams You say you love me, say you'll never leave my dreams In my dreams   You love me like yeah You love me right, oh yeah You love me like yeah You love me right, oh yeah You love me like yeah You love me right, oh yeah You love me like, you love me right In my dreams   In my dreams, dreams, dreams, yeah In my dreams, dreams, dreams, yeah In my dreams, oh   In my dreams You say you want me, my body In my dreams You say you need me, believe me In my dreams You say you love me, say you'll never leave my dreams In my dreams   You love me like yeah You love me right, oh yeah You love me like yeah You love me right, oh yeah You love me like yeah You love me right, oh yeah You love me like, you love me right In my dreams   Yeah In my dreams Yeah In my dreams",2,3,2,1,29,8,34,5,5,6,0.9999
12,12,/songs/2841974,Dua Lipa,For Julian,https://genius.com/Dua-lipa-for-julian-lyrics,http://api.genius.com/songs/2841974,The Only - EP,2016-08-20," What would you do? What would you do if I handed you a drug that'd teach you something new? What would you feel? What would you feel if I took over the fake and made them all real? What would you say? What would you say if I told you it's actually gon' be a good day?   Maybe all things happen for a reason You just need to get over this dry season But the only drug you need is believing Maybe God does answer all your prayers Maybe need to let go of the fear Of being let down from the people you keep near Maybe it's because you're running low on gear Maybe God does answer all your prayers   What do you need? What do you need to show you there's better things to life than good weed? What do you hear? What do you hear? What do you hear when I tell you I'm always near? I made it pretty clear What do you see? What do you see when you find out the best things in life are all free? You got a friend in me   Maybe all things happen for a reason You just need to get over this dry season But the only drug you need is believing Maybe God does answer all your prayers Maybe need to let go of the fear Of being let down from the people you keep near Maybe it's because you're running low on gear Maybe God does answer all your prayers   And I'm still here And I'm holding hard onto your hand But it still feels Like you're never gonna understand One can drown alone, but we can swim together   Maybe all things happen for a reason You just need to get over this dry season But the only drug you need is believing Maybe God does answer all your prayers And let go of the fear Of being let down from the people you keep near Is it because you're running low on gear? Maybe God does answer all your prayers",3,13,0,11,12,5,22,1,3,16,0.9782
